Feature,Importance
expanding_mean,27558
lag_90,27008
rolling_std_7,25419
lag_7,25107
lag_14,24983
lag_28,24794
rolling_mean_7,24313
lag_30,24051
dayofyear,23545
rolling_std_14,22865
rolling_mean_90,22097
rolling_std_30,21739
day,20671
rolling_std_90,20087
rolling_mean_14,19882
rolling_mean_30,16188
ema_07,15512
item,15307
lag_1,12875
dayofweek,11441
ema_08,9988
month,9155
ema_095,8992
ema_09,8490
weekofyear,7972
year,6413
store,4871
is_weekend,438
quarter,105
