Fold,RMSE,Training Time
1,7.902894615559773,74.32347011566162
2,6.936632218380511,86.57034540176392
3,6.373531514942971,100.05440711975098
4,7.689734746189677,111.03860640525818
5,7.706063524193502,123.8916642665863
